uuid	lineage	genotype	susceptibility
8e567743-a998-45a3-88c2-27783806dc54	Beijing_East_Asia		SSSSSSSSSSS
4c89da53-8524-41cf-bc27-f2d24d909933	Beijing_East_Asia		SSSSSSSSSSS
a0248156-6623-48c0-a38d-df72302d9514	Beijing_East_Asia		SSSSSSSSSSS
8d97a43b-3721-4f6d-9f2a-36fe563d5f2f	Beijing_East_Asia		SSSSSSSSSSS
f10ad288-0f5a-45b8-846d-a4b1a38ce7fe	Beijing_East_Asia		SSSSSSSSSSS
07652b3d-67e1-4362-8635-0794b0f9decc	Beijing_East_Asia		RRSSSSRSSSS
952096b7-5d90-461a-b357-67aed7acafab	Delhi_Central_Asia		SSSSSSSSSSS
73105ac7-2757-464f-a5e3-5bf9e330aff4	Delhi_Central_Asia		SSSSSSSSSSR
ac184818-1e0e-47a4-b26f-2e2f2b912bdc	Unknown		SSSSSSSRSSS
01a64828-f72e-447c-9cb3-ddedfe10df5f	Beijing_East_Asia		RRRSRRRRRSS
cfc14d58-a9aa-4395-b03c-844cbfb75198	Beijing_East_Asia		RRRRRRRRRRR
1b265e51-9122-4111-8e0e-de709b6ff27e	Beijing_East_Asia		SSRRSRSRRRR
82358cd4-6609-4d31-ae94-32c159d91e15	Beijing_East_Asia		SSSSSSSSSSS
3c24059d-c3d7-4b66-8cc4-8bd1545856c7	Beijing_East_Asia		SSRRRRSRRSS
8199608e-78f7-4a1e-95e6-668424408d43	Beijing_East_Asia		SSRSSRSRRSS
6e23b545-0378-4c53-956c-6633a06f2200	Beijing_East_Asia		SSRRrRSrRRR
fd8e985c-adf6-4b21-aa0f-5ddf9cdff04a	European_American		SSSSSSSSSSS
02eefe51-b653-4ebb-8cd4-adf41bc28dea	European_American		SSSSSSSSSSS
33d016e8-3351-45e6-8dbd-ad6b3ba4ea47	Beijing_East_Asia		RRRSRRRRRSS
b3905371-a56b-400f-81ee-1599bf095681	Unknown		RSSSSSSRSSS
0918db39-2cca-4bca-977f-1ab38d55475e	European_American		SSSSSSSSSSS
58b9dd14-ba22-40e1-977d-4550a2a880d7	European_American		SSSSSSSSSSS
440d506e-5f39-4d0d-90e6-8a07883060e6	Unknown		SSSSSSSSSSS
8e6414c6-a094-418b-b730-60fbc8bcad1d	Delhi_Central_Asia		SSSSSSSSSSS
81c1cd7e-a11d-494c-bb6e-6d2606be3012	Beijing_East_Asia		RRRSRRRSRSS
9bb63d48-4c9d-4c2c-a48d-8bee60e03ee1	Beijing_East_Asia		RRRSRRRRRSS
bbc79956-c2ae-45d1-bb48-e51adf5a0459	Beijing_East_Asia		SSRSRRSSRSS
44b9101e-30cd-4bf8-a34e-89218321221e	Beijing_East_Asia		SSSSSSSSSSS
36b3db02-f07d-4eeb-ba64-958495b7febc	East_Africa_Indian_ocean		SSSSSSSSSSS
4065b579-7fb5-4908-86a2-404174fcbb41	Beijing_East_Asia		SSSSSSSSSSS
bc656cd9-d987-47c7-bcca-64ada9f4d857	Beijing_East_Asia		SSSSSSSSSSS
71ea3d52-574a-44d7-8b1c-36192a4cb83c	Beijing_East_Asia		SSSSSSSSSSS
083a0868-2833-4748-9e77-a03113c8e7d5	Beijing_East_Asia		SSRSRRSSSSS
31dbf955-ada4-4814-b35a-7df3cc7543df	Beijing_East_Asia		SSSSSSSSSSS
56375cd4-85fb-45b8-90a6-13c1819f1ca7	Beijing_East_Asia		SSSSSRSSSSS
c658d711-a8c7-4758-9860-5aed2507a3f5	Beijing_East_Asia		SSRSRRSSRSS
03696324-b1a7-4e38-ad03-2094bfa2518a	Delhi_Central_Asia		SSSSSSSSSSR
9b56a234-fc22-4871-9855-8e8fedc34227	Beijing_East_Asia		RRRRRRRRRRR
af0acd99-5452-4a5e-9461-b7e9ee33277e	Beijing_East_Asia		SSRRSRSrRRR
a6a9e48b-7120-4690-95f3-be90fb2a902a	European_American		SSSSSSSSSSS
69319ce0-bf23-4ef1-b651-b82120cac0cf	European_American		SSSSSSSSSSS
ab1fc6f8-4dee-4a54-ba68-af30a9abd9ea	European_American		SSSSSSSSSSS
889be603-a2e1-46ca-80d0-7b17dfbe98e9	European_American		SSSSSSSSSSS
0bc983b3-6006-4b09-a120-919e05813dd8	East_Africa_Indian_ocean		SSSSSSSSSSS
26ad0f83-a3da-4fb9-91ed-d81ba31fbcf0	Delhi_Central_Asia		SSSSSSSSSSS
6ce8c9a1-6f53-4123-a153-4b249d7b9b7a	Delhi_Central_Asia		SSSSSSSSSSS
5d797c9d-0d63-4577-85ec-7abd4e71cc87	European_American		SSSSSSSSSSS
283f6230-b8de-4a58-b424-ccd961a2a49d	European_American		SSSSSSSSSSS
558e1458-bbae-4dcd-a075-b07161e27d00	European_American		SSSSSSSSSSS
cbebdb68-3d8b-46a1-ac0c-53a82b374bc7	European_American		SSSSSSSSSSS
e44395fb-519a-4c7d-ae7d-c2c3a30d150f	European_American		SSSSSSSSSSS
