uuid	lineage	susceptibility	genotype
7ddf54e8-9a33-4595-bcb1-610c3a66cd07	239	RSRSRRRRRRRS	MRSA:PVL*
cfffd983-2432-4fe6-96a1-42bec0c7e0d2	239	RSRSRSRRRRRS	MRSA:PVL+
7a1b8307-7bc8-4b3c-8d28-4890d31bb97d	239	RRRSRSRRRRRS	MRSA:PVL*
eaee1265-07ee-4439-8496-db68b2488edf	239	RSRSRSRRRRRS	MRSA:PVL*
4b0c33a6-0840-4b56-9161-63ba8d5737b6	239	RRRSRSRRRRRS	MRSA:PVL*
86b2f527-d530-40a6-b5cd-863501ad43a7	239	RSRSRSRRRRRS	MRSA:PVL*
ef1b9870-3a54-4864-8bab-0523988d0f01	8	SSSSSSSSRRSS	MRSA:PVL*
228269ab-d39a-454c-9ae3-42c91643d641	239	RSRSRSRRRRRS	MRSA:PVL*
ca8b4508-e75b-4b30-adf3-4c47cda2758f	239	RSRSRSRRRRRS	MRSA:PVL*
8944a8e2-6106-40a2-b40d-c85feba61a9f	239	RSRSRRRRRRRS	MRSA:PVL*
6504be75-6f8a-44f5-9c61-347381644c28	239	RRRSRSRRRRRS	MRSA:PVL*
a1b6d5f1-1fe7-4458-9c6a-b7f40aab0506	239	RSRSRSRRRRRS	MRSA:PVL*
7002af41-4c26-4164-8a06-e8bdf50f70a7	239	RSRSRSRRRRRS	MRSA:PVL*
98f82d9d-fa83-42f0-bcfa-a077c55f3cd9	2272	SSSSSSSSSSSS	MSSA:PVL-
ac40a3ad-6a4b-4dce-85a5-b8bb3db34a98	239	RRRSRSRSRRRS	MRSA:PVL*
0066feee-82b6-48ae-bee4-1e2dae35db29	239	RSRSRSRRRRRS	MRSA:PVL*
6c11856a-10c7-4cad-9446-57f32b682055	239	RSRSRSRRRRRS	MRSA:PVL*
32c851b4-d0f1-41c4-8705-115f1451c6ba	239	RRRSRSRRRRRS	MRSA:PVL*
7363efe9-fd60-4eb7-b239-e2c051dd6b47	239	RRRSRSRRRRRS	MRSA:PVL*
022b3b4c-a207-4588-9506-0b9223faa5af	239	RRRSRSRRRRRS	MRSA:PVL*
88d1d1c3-f398-459e-a06b-609fc033ad86	239	RSRSRSRRRRRS	MRSA:PVL*
7a6cf8f6-94c6-483b-b1db-d08b7a4f9008	239	RSRSRSRRRRRS	MRSA:PVL*
6fd876a5-1620-49d4-a94e-126c9b09e847	239	RSRSRSRRRRRS	MRSA:PVL*
1b13fc97-1131-406f-a641-1b7ef13f96d3	239	RSRSRSRRRRRS	MRSA:PVL*
4ff4cbeb-f6e3-4336-a3fd-60c49f9bf62f	239	RSRSRSRRRRRS	MRSA:PVL*
b1e8901e-5ff8-4296-bb6e-0db36c2b2229	239	RRRSRSRRRRRS	MRSA:PVL*
63f864e2-66b6-4923-86d8-a93ab37d10b5	239	RSRSRSRRRRRS	MRSA:PVL*
e160a573-aa98-409e-aa5b-c1c5f5d52b42	239	RSRSRRRRRRRS	MRSA:PVL*
0112c808-2362-40ef-a6bd-bc42dc0d4e17	239	RRRSRSRRRRRS	MRSA:PVL*
023d4908-02a7-47eb-90d1-6ef2c2cf8e8e	239	RRRSRSRRRRRS	MRSA:PVL*
47a80ae2-2c86-4f50-a4cd-90ba4eb7e393	239	RSRSRSRRRRRS	MRSA:PVL*
729bb3fc-2eb7-42a6-a467-c39db152fa72	239	RSRSRRRRRRRS	MRSA:PVL*
acf31773-d675-4406-a780-43711a0f1e57	239	RSRSRSRRRRRS	MRSA:PVL*
5aa2e1fa-52bc-4086-b127-c982aa34bd91	239	RSRSRRRRRRRS	MRSA:PVL*
f78b68c7-b13d-45a3-b035-6297ac359ea7	239	RSRSRSRRRRRS	MRSA:PVL*
1c120eb7-e570-438c-a09c-50cdc21a07bb	239	RSRSRRRRRRRS	MRSA:PVL*
d72dc987-8826-4bb7-8de6-60171c6170d8	239	RSRSRSRRRRRS	MRSA:PVL*
b211ec11-55b2-48f9-9e2c-d4853c1f3aad	239	RSRSRSRRRRRS	MRSA:PVL*
d11b7e66-2250-4d20-8b93-7793b1b68213	239	RSRSRSRRRRRS	MRSA:PVL*
9c232deb-c9a3-4d74-8289-29a2f49816f6	239	RSRSRSRRRRRS	MRSA:PVL*
d0eecde7-4093-4713-bf53-5916dec04ea1	239	RSRSRSRRRRRS	MRSA:PVL*
cf3619fc-1c0d-45bb-ae97-1f23575f38da	239	RSRSRSRRRRRS	MRSA:PVL*
de93c731-3568-40e4-8287-41fe5eca2619	239	RRRSRSRRRRRS	MRSA:PVL*
ae6c7355-be31-466b-b6d8-c9087401a830	239	RSRSRSRRRRRS	MRSA:PVL*
0fffe8bd-1f6d-4f09-bc1d-242ba493ebe9	239	RSRSRRRRRRRS	MRSA:PVL*
d8eff46d-e51c-4ced-b550-3ac6800b8b3d	239	RSRSRSRRRRRS	MRSA:PVL*
76a69dc4-d78d-461d-9bd2-54914a5e1c4f	239	RSRSRRRRRRRS	MRSA:PVL*
0a1cc841-0f88-4ea2-809b-75bf495afd7e	239	RSRSRSRRRRRS	MRSA:PVL*
d8f06bf2-2f41-4023-9219-4f46aabcd5cc	239	RRRSRSRRRRRS	MRSA:PVL*
