uuid	lineage	genotype	susceptibility
787c865b-cdf6-4ac5-bd45-85eaea9539bc	200	KL13-O3/O3a	
25f29ba4-3b9b-4c34-bf95-dd0fb51d9ca2	23	KL1-O1v2	
802fce35-e8c8-4cc2-b7a3-f1c7aef55398	245	KL43-O2v1	
c35cab33-5715-4111-9586-332952d880ea	23	KL1-O1v2	
5c0b9c4a-7790-46ce-bf37-eb23737a8f70	23	KL1-O1v2	
93927bf9-aaee-41fc-9ad3-5503b8fd9152	198	KL30-O1v1	
4dcad97d-b8cd-492b-a1af-05be59944b27	178	KL38-O12	
531a9215-732b-4e3e-b592-0cc49568be5f	187	KL42-O4	
6dcc8139-2f83-4793-9d6e-55745d3c9fe6	179	KL107-OL101	
921d724a-80f4-4752-a72a-7c188aed0411	191	KL107-OL101	
1c5e9a84-2e72-4d9d-a1a2-5de2342e6480	116	KL11-O3/O3a	
95061065-3f58-4488-bc1d-435844415f90	221	KL107-OL101	
73473973-87e0-4d0c-9695-e4d5e3198ed0	221	KL107-OL101	
9fa7a8c3-1e87-4db5-8834-2e1ef354ccc5	234	KL49-OL104	
4ebfac98-727d-4d3f-b162-30d5dc7a4c7f	2140	KL18-O1v1	
6c5d559d-61ea-494b-8ca9-045778feef6f	183	KL125-O5	
7045d92e-5103-41a9-83f2-5453e0897dd1	213	KL30-O1v2	
7de05044-d904-412a-bd07-dd679ff1c9a3	231	KL51-O1v2	
0f8533e0-bf8c-4240-aa3b-ef13124158c2	231	KL64-O1v1	
50019fd5-e909-4976-b8cd-6cf8b5c4867c	20	KL101-O1v2	
e57581b4-6ac3-4b02-8a26-1bbbba55685a	23	KL1-O1/O2v2	
ed8286b9-a716-4f0c-bb61-9f918c39eb9b	231	KL64-O1v1	
a1355fe7-7cee-4385-a401-6dff97ba29ca	23	KL1-O1v2	
6af12620-32e2-458e-a301-17aae44a0911	43	KL30-O1v1	
8174864e-8cdf-42ca-aece-e07fa7cc5b9c	23	KL1-O1v2	
35f21a0a-2a3d-4cc7-b34a-158e9a76d38f	416	KL23-O1v2	
36052c25-6be8-4bd0-ab51-2782fa082aa9	416	KL23-O1v2	
25c42175-bfa0-4a3d-8718-63ca06ad22ac	11	KL104-O2v2	
e6fc5b5a-2d3c-4b80-8305-f667c6da188f	2054	KL81-O1v1	
88b35709-095a-476f-ae19-cff8e038aabe	610	KL55-O3/O3a	
2d798f15-8d72-4231-967f-734f450fa924	42	KL64-O1v1	
88a10884-993f-4bdc-a9d4-00e0e510de60	416	KL23-O1v2	
9362ee76-ce64-4462-8264-6c114f0f5bf1	2124	KL11-O3b	
14217fd6-1b66-40d3-a5df-158c5881a82d	34	KL153-O2v2	
d39429b3-3cce-4a6d-b26a-588079384e8f	48	KL62-O1v1	
419bca1c-1fd0-48dc-9484-3b36b58b0851	1	KL19-O1v2	
80a41ae6-0e09-4e5a-80ef-e9a323710f01	2136	KL31-O5	
716a24b3-b7db-4e8a-bd6d-39886c2985f4	147	KL81-OL101	
494edbb7-3a79-4916-827c-071a3a1093ca	2115	KL126-OL101	
10715576-fb4b-4551-a40d-87233d177c00	17	KL107-OL104	
63fd24dc-dcca-4e09-a971-b48597f2f759	2129	KL64-O1v1	
bf518c9f-099f-498f-8ad0-a2a09539a735	327	KL39-O1v1	
8e01802c-b270-4303-85b9-1e556a3e91e9	2130	KL49-O1v1	
fa1aecf7-504b-4b97-9497-59b7b7379d29	2108	KL31-O5	
ff5508ed-fbbe-428e-9d0b-ba02f66ee8a4	107	KL142-O1v1	
6ed2c67b-f3eb-4561-be10-8b02d8d398ba	220	KL114-O1v2	
e00d373d-a442-4a13-a275-907ff6570ff9	2128	KL126-OL101	
fd560d82-b050-4ef0-998c-757ac6dec613	76	KL35-O5	
09636810-dca6-48d0-8d2f-104e48ecc264	2058	KL108-O1v2	
3a5251be-17a3-46e2-944c-5a3b24fd20c4	65	KL2-O2v2	
a7378f49-1b5a-4d8b-8de7-8cdda05f8186	65	KL2-O1v2	
